, Emotion, Text, Clean_text
38,kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
39,kecewa, Saya sangatkecewa dengan pelayanannya., saya sangatkecewa dengan pelayanannya
40,sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
41,senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
42,puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
43,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
44,kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
45,kecewa, Saya sangatkecewa dengan pelayanannya., saya sangatkecewa dengan pelayanannya
46,sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
47,senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
48,puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
49,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
50,kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
51,kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
52,senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
53,senang, Saya merasasenang dengan pelayanan yang diberikan., saya merasasenang dengan pelayanan diberikan
54,biasa saja, Pelayanannyabiasa saja tidak ada yang istimewa., pelayanannyabiasa saja tidak ada yang istimewa
55,kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
56,kecewa, Saya sangatkecewa dengan pelayanannya., saya sangatkecewa dengan pelayanannya
57,sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
58,senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
59,puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
60,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
61,kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
62,kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
63,senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
64,senang, Saya merasasenang dengan pelayanan yang diberikan., saya merasasenang dengan pelayanan diberikan
65,biasa saja, Pelayanannyabiasa saja tidak ada yang istimewa., pelayanannyabiasa saja tidak ada yang istimewa
66,kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
67,kecewa, Saya sangatkecewa dengan pelayanannya., saya sangatkecewa dengan pelayanannya
68,sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
69,senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
70,puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
71,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
72,kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
73,kecewa, Saya sangatkecewa dengan pelayanannya., saya sangatkecewa dengan pelayanannya
74,sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
75,senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
76,puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
77,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
78,kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
79,kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
80,senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
81,senang, Saya merasasenang dengan pelayanan yang diberikan., saya merasasenang dengan pelayanan diberikan
82,biasa saja, Pelayanannyabiasa saja tidak ada yang istimewa., pelayanannyabiasa saja tidak ada yang istimewa
83,kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
84,kecewa, Saya sangatkecewa dengan pelayanannya., saya sangatkecewa dengan pelayanannya
85,sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
86,senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
87,puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
88,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
89,kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
90,kecewa, Saya sangatkecewa dengan pelayanannya., saya sangatkecewa dengan pelayanannya
91,sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
92,senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
93,puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
94,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
95,kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
96,kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
97,senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
98,senang, Saya merasasenang dengan pelayanan yang diberikan., saya merasasenang dengan pelayanan diberikan
99,biasa saja, Pelayanannyabiasa saja tidak ada yang istimewa., pelayanannyabiasa saja tidak ada yang istimewa
100,kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
101,puas, Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan. , Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan. 
102,senang, Sayasenang dengan pelayanan di tata usaha kampus. , Sayasenang dengan pelayanan di tata usaha kampus. 
103,biasa saja, Pelayanannyabiasa saja tidak terlalu istimewa. , Pelayanannyabiasa saja tidak terlalu istimewa. 
104,kesal, Sayakesal karena tata usaha kampus lambat dalam proses administrasi. , Sayakesal karena tata usaha kampus lambat dalam proses administrasi. 
105,puas, Pelayanan sangat baik dan memuaskan. , Pelayanan sangat baik dan memuaskan. 
106,senang,senang dengan respons cepat dari tata usaha kampus. ,senang dengan respons cepat dari tata usaha kampus. 
107,biasa saja, Pelayanan tata usaha kampus standar saja. , Pelayanan tata usaha kampus standar saja. 
108,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal. 
109,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat. 
110,puas, Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan. , Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan. 
111,puas, Pelayanan tata usaha kampus sangat profesional dan mengutamakan kepuasan mahasiswa., Pelayanan tata usaha kampus sangat profesional dan mengutamakan kepuasan mahasiswa.
112,senang, Sayasenang dengan pelayanan di tata usaha kampus. , Sayasenang dengan pelayanan di tata usaha kampus. 
113,biasa saja, Pelayanannyabiasa saja  tidak terlalu istimewa. , Pelayanannyabiasa saja tidak terlalu istimewa. 
114,kesal, Sayakesal karena tata usaha kampus lambat dalam proses administrasi. , Sayakesal karena tata usaha kampus lambat dalam proses administrasi. 
115,puas, Pelayanan sangat baik dan memuaskan. , Pelayanan sangat baik dan memuaskan. 
116,senang,senang dengan respons cepat dari tata usaha kampus. ,senang dengan respons cepat dari tata usaha kampus. 
117,biasa saja, Pelayanan tata usaha kampus standar saja. , Pelayanan tata usaha kampus standar saja. 
118,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal. 
119,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat. 
120,puas, Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan. , Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan. 
121,senang, Sayasenang dengan pelayanan di tata usaha kampus. , Sayasenang dengan pelayanan di tata usaha kampus. 
122,biasa saja, Pelayanannyabiasa saja tidak terlalu istimewa. , Pelayanannyabiasa saja tidak terlalu istimewa. 
123,kesal, Sayakesal karena tata usaha kampus lambat dalam proses administrasi. , Sayakesal karena tata usaha kampus lambat dalam proses administrasi. 
124,puas, Pelayanan sangat baik dan memuaskan. , Pelayanan sangat baik dan memuaskan. 
125,senang,senang dengan respons cepat dari tata usaha kampus. ,senang dengan respons cepat dari tata usaha kampus. 
126,biasa saja, Pelayanan tata usaha kampus standar saja. , Pelayanan tata usaha kampus standar saja. 
127,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal. 
128,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat. 
129,puas, Saya merasapuas dengan pelayanan di tata usaha kampus. , Saya merasapuas dengan pelayanan di tata usaha kampus.
130,senang,senang sekali dengan layanan yang ramah dan sopan dari tata usaha kampus. ,senang sekali dengan layanan yang ramah dan sopan dari tata usaha kampus.
131,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
132,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
133,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
134,puas, Pelayanan tata usaha kampus benar-benar memuaskan dan efisien. , Pelayanan tata usaha kampus benar-benar memuaskan dan efisien.
135,senang, Sayasenang dengan kualitas layanan tata usaha kampus yang tinggi. , Sayasenang dengan kualitas layanan tata usaha kampus yang tinggi.
136,biasa saja, Layanan tata usaha kampus tidak ada yang menonjol hanyabiasa saja. , Layanan tata usaha kampus tidak ada yang menonjolhanyabiasa saja.
137,kesal, Sayakesal dengan keterlambatan penyelesaian administrasi oleh tata usaha kampus. , Sayakesal dengan keterlambatan penyelesaian administrasi oleh tata usaha kampus.
138,kecewa, Rasanya sangatkecewa dengan pelayanan tata usaha kampus yang buruk. , Rasanya sangatkecewa dengan pelayanan tata usaha kampus yang buruk.
139,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
140,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
141,biasa saja, Pelayanan tata usaha kampus cukupbiasa saja tidak terlalu istimewa. , Pelayanan tata usaha kampus cukupbiasa saja tidak terlalu istimewa.
142,kesal, Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa. , Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.
143,kecewa, Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus. , Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus.
144,puas, Pelayanan tata usaha kampus sangat memuaskan dan membantu. , Pelayanan tata usaha kampus sangat memuaskan dan membantu.
145,senang, Sayasenang dengan respon cepat dari tata usaha kampus. , Sayasenang dengan respon cepat dari tata usaha kampus.
146,biasa saja, Pelayanan tata usaha kampus hanya standar saja  tidak ada yang luar biasa. , Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa.
147,kesal, Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit. , Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit.
148,kecewa, Sangatkecewa dengan ketidakresponsifan tata usaha kampus. , Sangatkecewa dengan ketidakresponsifan tata usaha kampus.
149,puas, Pelayanan di tata usaha kampus sungguh memuaskan. , Pelayanan di tata usaha kampus sungguh memuaskan.
150,senang, Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus. , Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus.
151,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
152,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
153,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
154,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
155,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
156,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
157,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
158,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
159,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
160,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
161,biasa saja, Pelayanan tata usaha kampus cukupbiasa saja tidak terlalu istimewa. , Pelayanan tata usaha kampus cukupbiasa saja tidak terlalu istimewa.
162,kesal, Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa. , Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.
163,kecewa, Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus. , Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus.
164,puas, Pelayanan tata usaha kampus sangat memuaskan dan membantu. , Pelayanan tata usaha kampus sangat memuaskan dan membantu.
165,senang, Sayasenang dengan respon cepat dari tata usaha kampus. , Sayasenang dengan respon cepat dari tata usaha kampus.
166,biasa saja, Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa.
167,kesal, Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit. , Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit.
168,kecewa, Sangatkecewa dengan ketidakresponsifan tata usaha kampus. , Sangatkecewa dengan ketidakresponsifan tata usaha kampus.
169,puas, Pelayanan di tata usaha kampus sungguh memuaskan. , Pelayanan di tata usaha kampus sungguh memuaskan.
170,senang, Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus. , Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus.
171,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
172,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
173,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
174,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
175,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
176,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
177,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
178,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
179,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
180,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
181,biasa saja, Pelayanan tata usaha kampus cukupbiasa saja tidak terlalu istimewa. , Pelayanan tata usaha kampus cukupbiasa saja tidak terlalu istimewa.
182,kesal, Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa. , Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.
183,kecewa, Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus. , Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus.
184,puas, Pelayanan tata usaha kampus sangat memuaskan dan membantu. , Pelayanan tata usaha kampus sangat memuaskan dan membantu.
185,senang, Sayasenang dengan respon cepat dari tata usaha kampus. , Sayasenang dengan respon cepat dari tata usaha kampus.
186,biasa saja, Pelayanan tata usaha kampus hanya standar sajatidak ada yang luar biasa. , Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa.
187,kesal, Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit. , Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit.
188,kecewa, Sangatkecewa dengan ketidakresponsifan tata usaha kampus. , Sangatkecewa dengan ketidakresponsifan tata usaha kampus.
189,puas, Pelayanan di tata usaha kampus sungguh memuaskan. , Pelayanan di tata usaha kampus sungguh memuaskan.
190,senang, Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus. , Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus.
191,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja  tidak ada yang istimewa.
192,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
193,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
194,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
195,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
196,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
197,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
198,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
199,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
200,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
201,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak terlalu istimewa. , Pelayanan tata usaha kampusbiasa saja tidak terlalu istimewa.
202,kesal, Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa. , Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.
203,kecewa, Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus. , Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus.
204,puas, Pelayanan tata usaha kampus sangat memuaskan dan membantu. , Pelayanan tata usaha kampus sangat memuaskan dan membantu.
205,senang, Sayasenang dengan respon cepat dari tata usaha kampus. , Sayasenang dengan respon cepat dari tata usaha kampus.
206,biasa saja, Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa.
207,kesal, Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit. , Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit.
208,kecewa, Sangatkecewa dengan ketidakresponsifan tata usaha kampus. , Sangatkecewa dengan ketidakresponsifan tata usaha kampus.
209,puas, Pelayanan di tata usaha kampus sungguh memuaskan. , Pelayanan di tata usaha kampus sungguh memuaskan.
210,senang, Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus. , Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus.
211,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
212,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
213,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
214,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
215,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
216,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
217,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
218,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
219,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
220,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
221,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak terlalu istimewa. , Pelayanan tata usaha kampusbiasa saja tidak terlalu istimewa.
222,kesal, Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa. , Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.
223,kecewa, Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus. , Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus.
224,puas, Pelayanan tata usaha kampus sangat memuaskan dan membantu. , Pelayanan tata usaha kampus sangat memuaskan dan membantu.
225,senang, Sayasenang dengan respon cepat dari tata usaha kampus. , Sayasenang dengan respon cepat dari tata usaha kampus.
226,biasa saja, Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa.
227,kesal, Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit. , Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit.
228,kecewa, Sangatkecewa dengan ketidakresponsifan tata usaha kampus. , Sangatkecewa dengan ketidakresponsifan tata usaha kampus.
229,puas, Pelayanan di tata usaha kampus sungguh memuaskan. , Pelayanan di tata usaha kampus sungguh memuaskan.
230,senang, Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus. , Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus.
231,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
232,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
233,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
234,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
235,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
236,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
237,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
238,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
239,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
240,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
241,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak terlalu istimewa. , Pelayanan tata usaha kampusbiasa saja tidak terlalu istimewa.
